Scene,Tile_ID,Row,Column,Pixel_X,Pixel_Y,Input_File,Target_File
Landsat8_Ahmedabad_2023_PostMonsoon_001,1,0,0,0,0,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000001_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000001_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,2,0,1,256,0,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000002_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000002_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,3,0,2,512,0,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000003_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000003_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,4,0,3,768,0,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000004_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000004_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,5,0,4,788,0,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000005_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000005_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,6,1,0,0,256,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000006_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000006_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,7,1,1,256,256,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000007_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000007_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,8,1,2,512,256,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000008_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000008_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,9,1,3,768,256,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000009_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000009_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,10,1,4,788,256,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000010_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000010_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,11,2,0,0,509,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000011_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000011_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,12,2,1,256,509,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000012_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000012_target.tif
Landsat8_Ahmedabad_2023_PostMonsoon_001,13,2,2,512,509,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000013_input.tif,Landsat8_Ahmedabad_2023_PostMonsoon_001_tile_000013_target.tif
